target,channel_view,price_bin,mattress_size,mattress_firmness,pillow_size,pillow_type,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_support_2,cross_sell_rate_2,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_2_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross_sell_top_3,cross_sell_support_3,cross_sell_rate_3,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,cross_sell_3_expected_value,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_support_2,upsell_rate_2,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_avg_sum_2,upsell_top_3,upsell_support_3,upsell_rate_3,upsell_rate_3_ci_low,upsell_rate_3_ci_high,upsell_avg_sum_3
mattress,all,<20k,120x200,firm,unknown,unknown,404,medium,1,Одеяло,76,0.1881,0.153,0.2291,256.6,,,,,Наволочка,66,0.1634,0.1305,0.2026,168.44,,,,,Другая мебель,43,0.1064,0.08,0.1403,4657.06,Постельное белье,50,0.1238,0.0951,0.1595,1639.38
mattress,all,<20k,120x200,soft,unknown,unknown,169,low,1,Кровать/каркас,5,0.0296,0.0127,0.0674,153.85,,,,,Подарки/сувениры,2,0.0118,0.0033,0.0421,4.86,,,,,Постельное белье,2,0.0118,0.0033,0.0421,2234.3,Косметика/гигиена,2,0.0118,0.0033,0.0421,1777.06
mattress,all,<20k,120x200,unknown,unknown,unknown,3984,high,1,Одеяло,679,0.1704,0.1591,0.1824,268.61,Воскресенье,Вечер (18-23),2025-11,18785.55,Наматрасник/топпер,583,0.1463,0.1357,0.1577,168.76,Четверг,Вечер (18-23),2025-12,17539.33,Другая мебель,410,0.1029,0.0939,0.1127,5772.9,Постельное белье,404,0.1014,0.0924,0.1112,1989.13
mattress,all,<20k,140x200,firm,unknown,unknown,642,medium,1,Кровать/каркас,137,0.2134,0.1835,0.2467,1792.18,,,,,Наволочка,112,0.1745,0.1471,0.2057,336.65,,,,,Другая мебель,80,0.1246,0.1013,0.1524,6464.24,Постельное белье,49,0.0763,0.0582,0.0995,2358.5
mattress,all,<20k,140x200,soft,unknown,unknown,200,low,1,Наматрасник/топпер,7,0.035,0.0171,0.0705,58.08,,,,,Кровать/каркас,6,0.03,0.0138,0.0639,231.62,,,,,Одежда для дома,1,0.005,0.0009,0.0278,4049.43,Другая мебель,2,0.01,0.0027,0.0357,3412.1
mattress,all,<20k,140x200,unknown,unknown,unknown,7439,high,1,Наматрасник/топпер,1188,0.1597,0.1516,0.1682,217.42,Пятница,День (12-17),2025-03,33365.79,Кровать/каркас,1098,0.1476,0.1397,0.1558,1449.12,Воскресенье,День (12-17),2025-04,108627.95,Другая мебель,819,0.1101,0.1032,0.1174,9025.32,Постельное белье,705,0.0948,0.0883,0.1016,2162.35
mattress,all,<20k,160x200,firm,unknown,unknown,1216,high,1,Наматрасник/топпер,238,0.1957,0.1744,0.219,241.52,,,,,Кровать/каркас,203,0.1669,0.147,0.1889,1319.02,,,,,Другая мебель,173,0.1423,0.1238,0.163,7347.94,Шторы/карнизы,71,0.0584,0.0465,0.073,2205.48
mattress,all,<20k,160x200,soft,unknown,unknown,265,low,1,Кровать/каркас,10,0.0377,0.0206,0.0681,819.48,,,,,Другая мебель,8,0.0302,0.0154,0.0584,242.5,,,,,Другая мебель,8,0.0302,0.0154,0.0584,8032.93,Шторы/карнизы,1,0.0038,0.0007,0.0211,4712.38
mattress,all,<20k,160x200,unknown,unknown,unknown,13684,high,1,Наматрасник/топпер,2312,0.169,0.1628,0.1753,223.4,Вторник,День (12-17),2024-11,33508.47,Другая мебель,1846,0.1349,0.1293,0.1407,1344.68,Четверг,Ночь (00-05),2025-12,89236.66,Другая мебель,1846,0.1349,0.1293,0.1407,9967.84,Зеркала,208,0.0152,0.0133,0.0174,3051.46
mattress,all,<20k,180x200,firm,unknown,unknown,148,low,1,Наматрасник/топпер,37,0.25,0.1872,0.3255,476.31,,,,,Наволочка,36,0.2432,0.1812,0.3183,690.18,,,,,Одеяло,40,0.2703,0.2052,0.347,2276.86,Наматрасник/топпер,37,0.25,0.1872,0.3255,1905.23
mattress,all,<20k,180x200,soft,unknown,unknown,121,low,1,Одеяло,2,0.0165,0.0045,0.0583,54.02,,,,,Косметика/гигиена,2,0.0165,0.0045,0.0583,8.3,,,,,Одеяло,2,0.0165,0.0045,0.0583,3268.5,Одежда для дома,1,0.0083,0.0015,0.0453,1614.29
mattress,all,<20k,180x200,unknown,unknown,unknown,3151,high,1,Наматрасник/топпер,554,0.1758,0.1629,0.1895,247.58,,,2025-08,11556.9,Наволочка,530,0.1682,0.1555,0.1817,339.05,Среда,День (12-17),2025-06,32251.71,Другая мебель,437,0.1387,0.1271,0.1512,10003.09,Ковры/коврики,151,0.0479,0.041,0.0559,3353.8
mattress,all,<20k,200x200,unknown,unknown,unknown,136,low,1,Наволочка,32,0.2353,0.1719,0.3132,655.73,,,,,Наматрасник/топпер,24,0.1765,0.1216,0.2492,257.46,,,,,Одеяло,34,0.25,0.1848,0.329,2652.38,Наматрасник/топпер,24,0.1765,0.1216,0.2492,1458.94
mattress,all,<20k,80x200,firm,unknown,unknown,270,low,1,Наматрасник/топпер,37,0.137,0.1011,0.1832,158.46,,,,,Постельное белье,37,0.137,0.1011,0.1832,221.34,,,,,Постельное белье,37,0.137,0.1011,0.1832,1615.21,Наволочка,33,0.1222,0.0884,0.1667,1467.17
mattress,all,<20k,80x200,unknown,unknown,unknown,3166,high,1,Наволочка,460,0.1453,0.1334,0.158,156.35,,,2025-11,13684.24,Наматрасник/топпер,327,0.1033,0.0932,0.1144,141.05,,,2025-08,10320.64,Другая мебель,193,0.061,0.0531,0.0698,4619.04,Постельное белье,283,0.0894,0.0799,0.0998,2018.64
mattress,all,<20k,90x200,firm,unknown,unknown,971,medium,1,Одеяло,185,0.1905,0.1671,0.2164,239.15,,,,,Наматрасник/топпер,155,0.1596,0.1379,0.184,180.04,,,,,Другая мебель,108,0.1112,0.093,0.1326,4653.08,Постельное белье,121,0.1246,0.1053,0.1469,1638.36
mattress,all,<20k,90x200,unknown,unknown,unknown,7893,high,1,Кровать/каркас,1208,0.153,0.1453,0.1612,1272.13,Среда,Вечер (18-23),2025-12,138581.53,Наволочка,1143,0.1448,0.1372,0.1527,202.04,Четверг,День (12-17),2025-03,13847.31,Кровать/каркас,1208,0.153,0.1453,0.1612,8312.02,Постельное белье,866,0.1097,0.103,0.1168,2101.42
